2020-08-06 22:34:28 status unpacked mount:i386 2.31.1-0.4ubuntu3
2020-08-06 22:34:28 install ncurses-base:all <none> 6.1-1ubuntu1
2020-08-06 22:34:28 status half-installed ncurses-base:all 6.1-1ubuntu1
2020-08-06 22:34:28 status unpacked ncurses-base:all 6.1-1ubuntu1
2020-08-06 22:34:28 status unpacked ncurses-base:all 6.1-1ubuntu1
2020-08-06 22:34:28 install ncurses-bin:i386 <none> 6.1-1ubuntu1
2020-08-06 22:34:28 status half-installed ncurses-bin:i386 6.1-1ubuntu1
2020-08-06 22:34:28 status unpacked ncurses-bin:i386 6.1-1ubuntu1
2020-08-06 22:34:28 status unpacked ncurses-bin:i386 6.1-1ubuntu1
2020-08-06 22:34:28 install passwd:i386 <none> 1:4.5-1ubuntu1
2020-08-06 22:34:28 status half-installed passwd:i386 1:4.5-1ubuntu1
2020-08-06 22:34:28 status unpacked passwd:i386 1:4.5-1ubuntu1
2020-08-06 22:34:28 status unpacked passwd:i386 1:4.5-1ubuntu1
2020-08-06 22:34:28 upgrade perl-base:i386 5.26.1-6 5.26.1-6
2020-08-06 22:34:28 status half-configured perl-base:i386 5.26.1-6
2020-08-06 22:34:28 status unpacked perl-base:i386 5.26.1-6
2020-08-06 22:34:28 status half-installed perl-base:i386 5.26.1-6
2020-08-06 22:34:29 status half-installed perl-base:i386 5.26.1-6
2020-08-06 22:34:29 status unpacked perl-base:i386 5.26.1-6
2020-08-06 22:34:29 status unpacked perl-base:i386 5.26.1-6
2020-08-06 22:34:29 install procps:i386 <none> 2:3.3.12-3ubuntu1
2020-08-06 22:34:29 status half-installed procps:i386 2:3.3.12-3ubuntu1
2020-08-06 22:34:29 status unpacked procps:i386 2:3.3.12-3ubuntu1
2020-08-06 22:34:29 status unpacked procps:i386 2:3.3.12-3ubuntu1
2020-08-06 22:34:29 install sed:i386 <none> 4.4-2
2020-08-06 22:34:29 status half-installed sed:i386 4.4-2
2020-08-06 22:34:29 status unpacked sed:i386 4.4-2
2020-08-06 22:34:29 status unpacked sed:i386 4.4-2
2020-08-06 22:34:29 install sensible-utils:all <none> 0.0.12
2020-08-06 22:34:29 status half-installed sensible-utils:all 0.0.12
2020-08-06 22:34:29 status unpacked sensible-utils:all 0.0.12
2020-08-06 22:34:29 status unpacked sensible-utils:all 0.0.12
2020-08-06 22:34:29 install sysvinit-utils:i386 <none> 2.88dsf-59.10ubuntu1
2020-08-06 22:34:29 status half-installed sysvinit-utils:i386 2.88dsf-59.10ubuntu1
2020-08-06 22:34:29 status unpacked sysvinit-utils:i386 2.88dsf-59.10ubuntu1
